"ind","imgid","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag1c","tag2c","tag3c","tag4c","tag5c","tag6c","tag7c","tag8c","tag9c","tag10c"
"1","1000346","indoor",NULL,NULL,NULL,NULL,"wood","None","None","None","None",,,,,,"313:131,196:15,319:128,",,,,
"2","1000421449","outdoor","wind turbine","windmill","streetlight","flag","sky","mountains","grass","trees","None",,,,,,"355:186,","26:247,352:261,286:278,","461:359,297:307,","349:345,491:301,189:313,",
"3","1000519386","indoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"4","1000582607","outdoor","nature","rock","rock formation","rock wall","mountains","sky","grass","dirt","None",,,,,,"337:377,301:307,","58:197,243:206,304:152,","302:486,328:321,","191:472,",
"5","100063730","indoor","windowsill","window","architecture","dinner table","wall","window","None","None","None",,,,,,"473:163,192:24,","387:100,",,,
"6","1000742679","indoor",NULL,NULL,NULL,NULL,"wall","None","None","None","None",,,,,,"408:331,399:16,107:140,",,,,
"7","100074815","outdoor","infrastructure","building","building structure","architecture","road""","night sky","None","None","None",,,,,,"288:307,293:270,273:296,","271:63,",,,
"8","1001013308","sun","outdoor","sky","landscape","nature","water","sky","night sky","None","None",,,,,,"217:268,","388:45,","404:173,364:168,",,
"9","1001407573","classroom","room","study room","sport","fishing","people","sky","forest","wood","None",,,,,,"482:251,490:270,462:277,380:258,226:254,240:149,23","108:151,81:127,80:49,350:48,","475:126,279:161,292:153,","454:322,468:321,399:317,",
"10","100200238","car part","windshield",NULL,NULL,NULL,"None","None","None","None","None","49:361,34:34,65:223,361:342,297:274,217:21,",,,,,,,,,
"11","1002153366","feline","pet","cat","animal","indoor","wood","None","None","None","None",,,,,,"154:280,19:324,40:259,83:243,158:338,452:343,471:2",,,,
"12","1002294126","sign","text","outdoor","signboard","building","people","clouds","sky","road""","None","258:102,","258:102,",,,"471:241,","298:181,282:90,","134:48,430:26,36:95,82:124,65:150,","12:12,470:112,403:23,447:78,57:12,134:48,","104:307,338:366,102:358,85:332,",
"13","10023725","outdoor","shelter",NULL,NULL,NULL,"architecture","dirt","grass","trees","clouds",,,,,,"423:227,294:235,277:183,","493:284,351:270,","493:284,","57:136,469:204,389:168,","479:74,14:26,178:55,"
"14","1002376873","blackandwhite","monochrome","people",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"15","1002480688","indoor","ensemble","outfit","bagpipe","music","wall","floor","people","None","None",,,,,,"242:84,66:97,","235:417,320:426,139:480,","349:209,119:129,289:360,285:341,192:132,183:146,18",,
"16","1002499322","outdoor","cave","cavern","nature",NULL,"None","None","None","None","None",,,,,,,,,,
"17","10025005","indoor","hair","head","people","blur","people","wall","None","None","None",,,,,,"202:200,279:173,253:207,","457:80,96:93,403:83,",,,
"18","1002718596","blackandwhite","monochrome","indoor","black",NULL,"None","None","None","None","None",,,,,,,,,,
"19","10028059","indoor","room","bedroom",NULL,NULL,"wall","wood","floor","None","None",,,,,,"208:76,214:37,190:83,97:106,","34:211,99:208,137:182,103:240,55:304,464:216,413:1","34:211,34:211,34:211,34:211,",,
"20","1002922793","art","light painting","outdoor","night","black background","trees","lights","grass","None","None",,,,,,"7:233,10:180,","356:207,359:208,426:73,371:79,381:93,292:102,","359:321,",,
"21","10032700","indoor","dinner table","dining table","table","furniture","wall","wood","None","None","None",,,,,,"448:11,484:152,398:26,323:47,235:53,77:80,329:48,1","455:322,454:326,377:365,",,,
"22","100336074","outdoor","shore","landscape","nature","snow","trees","water","sky","None","None",,,,,,"418:203,203:212,97:200,","397:239,67:254,116:296,456:285,430:258,374:277,","421:29,81:59,309:87,",,
"23","1003561056","outdoor","building","house","architecture","mansion","sky","clouds","trees","grass","None",,,,,,"327:225,59:74,284:103,","149:36,333:43,22:72,","367:300,329:293,48:249,289:333,","240:492,31:485,95:389,332:381,205:380,",
"24","100369695","outdoor","bastion","architecture","fort","snow","snow","sky","None","None","None",,,,,,"129:360,448:326,291:251,271:271,142:253,","28:47,371:75,336:62,",,,
"25","1004587863","indoor","architecture","handmade",NULL,NULL,"wood","None","None","None","None",,,,,,"406:311,275:305,120:323,280:19,34:75,267:21,35:38,",,,,
"26","100566207","indoor","pet","dog","animal",NULL,"None","None","None","None","None",,,,,,,,,,
"27","100579207","indoor","food","meal","banquet","dinner table","None","None","None","None","None",,,,,,,,,,
"28","100579528","plant","nature","tree","palm tree","outdoor","sky","palm tree","water","sand","None",,,,,,"48:225,336:143,256:34,","129:63,159:57,15:44,129:297,135:254,71:72,148:71,","65:351,155:286,47:316,","65:351,65:351,65:351,",
"29","100589601","art","graffiti","outdoor","banner","flag","road""","None","None","None","None",,,,,,"33:346,418:339,288:352,173:349,",,,,
"30","1005899","outdoor","car part","windshield","car mirror","car","grass","None","None","None","None",,,,,,"247:238,330:130,435:143,224:161,",,,,
"31","1006444491","doll",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"32","100665696","people","indoor",NULL,NULL,NULL,"wood","None","None","None","None",,,,,,"11:26,39:4,28:22,",,,,
"33","100687177","outdoor","landscape","nature",NULL,NULL,"grass","dirt","sky","None","None",,,,,,"326:321,198:256,124:241,","103:268,309:289,243:291,","21:74,455:60,391:57,105:49,",,
"34","1006975245","food","fruit","indoor","yellow","tangerine","None","None","None","None","None",,,,,,,,,,
"35","1006993060","outdoor","plant","tree","nature",NULL,"trees","None","None","None","None",,,,,,"224:165,97:159,53:178,207:227,103:219,",,,,
"36","100703470","outdoor",NULL,NULL,NULL,NULL,"dirt","trees","None","None","None",,,,,,"328:330,4:312,29:341,322:357,172:369,155:359,","54:23,370:45,179:60,446:78,372:162,357:171,295:215",,,
"37","1007139696","indoor",NULL,NULL,NULL,NULL,"wall","people","None","None","None",,,,,,"422:235,434:197,416:102,72:74,","275:289,139:244,",,,
"38","100748480","music","concert","stage","indoor",NULL,"wall","None","None","None","None",,,,,,"48:149,80:106,271:20,241:33,",,,,
"39","100808155","outdoor","iceberg","landscape","nature","ice","clouds","snow","None","None","None",,,,,,"19:386,296:121,63:177,","311:296,252:408,333:457,100:465,100:465,113:366,",,,
"40","1008128397","guitar","stringed instrument","music","indoor",NULL,"people","wall","wood","floor","None",,,,,,"302:242,42:253,187:336,127:303,","91:134,123:34,480:164,362:159,446:219,","9:226,4:288,139:258,144:274,20:331,62:322,","445:329,411:331,",
"41","100836910","indoor","lampshade","lamp",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"42","100894479","indoor",NULL,NULL,NULL,NULL,"people","None","None","None","None",,,,,,"43:78,",,,,
"43","100934849","outdoor",NULL,NULL,NULL,NULL,"people","mountains","clouds","sky","None",,,,,,"379:133,260:132,371:133,368:175,308:120,296:232,30","449:102,33:106,53:104,442:92,193:107,","270:49,31:5,242:32,65:48,","144:7,464:16,393:14,",
"44","1009966282","sari","dress","costume","indoor","doll","people","None","None","None","None",,,,,,"406:335,",,,,
"45","1010225821","outdoor",NULL,NULL,NULL,NULL,"grass","trees","people","None","None",,,,,,"18:291,","45:129,64:153,223:200,243:131,60:155,","375:162,195:82,182:119,279:258,193:218,176:240,366",,
"46","10105860","outdoor","building","thatch","architecture","roof","rocks","trees","None","None","None",,,,,,"225:193,136:181,50:207,110:218,83:244,423:294,329:","385:4,409:145,409:145,393:24,494:175,490:149,16:11",,,
"47","101068633","indoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"48","1010898778","plant","nature","tree","palm tree","symmetry","sky","palm tree","None","None","None",,,,,,"473:143,445:243,82:305,50:338,460:289,417:353,","167:71,398:4,346:207,350:31,31:88,137:284,274:81,1",,,
"49","101109217","outdoor","mountain","landscape","nature",NULL,"forest","sky","None","None","None",,,,,,"225:329,4:280,108:313,","372:64,75:172,5:38,475:166,272:62,",,,
