"ind","imgid","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag1c","tag2c","tag3c","tag4c","tag5c","tag6c","tag7c","tag8c","tag9c","tag10c"
"1","1361159283","indoor",NULL,NULL,NULL,NULL,"people","wall","None","None","None",,,,,,"217:246,260:214,117:318,203:318,220:309,251:313,","26:218,51:25,",,,
"2","1361446377","hall","indoor","room","dining","dining room","lights","None","None","None","None",,,,,,"431:263,",,,,
"3","1361493379","indoor","dinner table","dining table","table","furniture","wood","None","None","None","None",,,,,,"485:266,220:337,228:358,413:131,",,,,
"4","1361598373","outdoor","mountain","nature","landscape","horse ranch","sky","mountains","None","None","None",,,,,,"362:63,","234:193,156:199,149:167,174:137,",,,
"5","1361894444","outdoor","nature","shore","landscape","swim","people","water","forest","sky","dirt",,,,,,"268:245,286:258,301:270,","387:112,269:87,60:216,60:216,60:216,","106:100,332:40,387:112,","315:10,","134:406,64:336,"
"6","136207157","indoor","electronics","office","room","hall","None","None","None","None","None",,,,,,,,,,
"7","1362096841","outdoor","archery","sport","field game","hitter","grass","dirt","trees","None","None",,,,,,"120:495,149:392,","160:202,44:261,","294:114,302:114,105:143,84:132,",,
"8","1362640923","indoor","art gallery","room","blur",NULL,"lights","None","None","None","None",,,,,,"284:39,",,,,
"9","1363111952","feline","pet","cat","animal","dog","floor","None","None","None","None",,,,"297:79,281:83,325:143,",,"105:267,",,,,
"10","1363604516","indoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"11","1363706177","outdoor","bungee","sport","trapeze","vehicle","sky","None","None","None","None",,,,,,"422:78,478:157,469:90,217:63,",,,,
"12","1363989196","outdoor","sport","cycling","bicycling","runner","road""","trees","sky","None","None",,,,,,"419:287,252:261,","279:77,169:115,","413:51,",,
"13","136452995","nature","benthos","ocean floor","reef","coral","water","animal","None","None","None",,,,,"146:237,406:285,409:301,154:95,77:52,71:165,","427:29,","365:174,",,,
"14","1364538660","outdoor","vehicle","boat","rowing boat","canoe","sky","water","mountains","trees","None",,,"344:254,183:249,",,,"273:29,","44:325,16:200,","386:109,207:123,","478:157,381:146,",
"15","136456302","people","head","indoor",NULL,NULL,"None","None","None","None","None","163:284,272:351,302:241,128:196,149:224,",,,,,,,,,
"16","136469762","people","indoor",NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"17","1365149652","indoor","musician","performer","people",NULL,"None","None","None","None","None",,,,,,,,,,
"18","1366419037","outdoor","architecture","gondola","boat","vehicle","rocks","grass","None","None","None",,,,,,"241:363,","186:404,",,,
"19","1366691608","outdoor","palm tree","plant","tree","nature","sky","palm tree","mountains","None","None",,,,,,"224:24,","204:127,218:138,328:275,244:420,","316:75,",,
"20","136690666","indoor",NULL,NULL,NULL,NULL,"wall","window","None","None","None",,,,,,"156:61,","370:158,",,,
"21","1367114115","outdoor","jump","golf","sport",NULL,"grass","None","None","None","None",,,,,,"446:251,156:196,386:170,331:68,",,,,
"22","1367259378","indoor",NULL,NULL,NULL,NULL,"wall","rocks","None","None","None",,,,,,"25:281,93:173,120:161,108:401,134:40,","276:407,213:390,212:449,246:455,325:324,",,,
"23","1367336893","underwater","water","scuba diver","sport","blue","None","None","None","None","None",,"320:203,","146:120,",,,,,,,
"24","1367401907","outdoor","road","building","architecture","fort","sky","architecture","rocks","None","None",,,,,,"77:29,","435:109,431:90,338:188,353:96,","159:353,192:335,",,
"25","1367481430","lamp","lantern","streetlight","outdoor","lamppost","sky","water","None","None","None",,"196:163,209:83,",,,,"347:169,345:59,","292:217,",,,
"26","1367656260","outdoor",NULL,NULL,NULL,NULL,"grass","None","None","None","None",,,,,,"340:62,353:235,",,,,
"27","136767524","indoor",NULL,NULL,NULL,NULL,"wood","None","None","None","None",,,,,,"315:273,339:281,396:259,439:328,431:306,413:332,39",,,,
"28","136771146","outdoor","crowd","people","field game","football","sky","grass","people","mountains","None",,,,,,"105:45,80:22,249:31,","171:322,","320:296,","432:92,",
"29","1367870452","monochrome","indoor","blur","fire",NULL,"None","None","None","None","None",,,,,,,,,,
"30","136797911","outdoor","plant","nature","tree","mangrove","water","trees","sky","None","None",,,,,,"127:476,172:491,","296:287,154:311,61:342,","133:81,",,
"31","136815739","fire","bonfire","flame","black background","black","people","None","None","None","None",,,,,,"82:163,",,,,
"32","136815908","outdoor","architecture","stonework","masonry","abutment","sky","rocks","None","None","None",,,,,,"252:281,105:238,85:480,21:463,146:86,160:69,145:30","49:46,229:197,",,,
"33","1368173158","outdoor",NULL,NULL,NULL,NULL,"water","None","None","None","None",,,,,,"208:312,133:82,133:65,237:272,260:286,481:229,",,,,
"34","136818527","indoor","graffiti","art",NULL,NULL,"window","None","None","None","None",,,"183:199,",,,"309:72,",,,,
"35","136840388","indoor","assembly","sofa","furniture","building","wall","window","wood","None","None",,,"265:300,285:264,300:293,",,,"7:123,484:58,107:16,176:17,244:58,","413:60,","346:32,",,
"36","13684141","indoor",NULL,NULL,NULL,NULL,"people","None","None","None","None",,,,,,"48:77,40:97,89:93,111:63,",,,,
"37","136842470","outdoor","building","house","architecture","dwelling","rocks","road""","grass","sky","trees",,,,"153:126,200:180,195:178,194:164,",,"168:277,","437:369,355:303,244:353,","60:330,238:373,240:294,309:299,291:309,","96:134,378:111,","164:81,465:200,391:185,352:142,"
"38","1368505048","outdoor","shop",NULL,NULL,NULL,"window","architecture","sky","None","None",,,,,,"458:28,441:40,","453:100,77:344,41:89,54:107,451:100,226:88,229:120","21:13,",,
"39","136858571","outdoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"40","1368653603","indoor",NULL,NULL,NULL,NULL,"wall","floor","None","None","None",,,,,,"365:69,377:20,342:8,","7:209,",,,
"41","1368710618","outdoor","aerial",NULL,NULL,NULL,"sand","None","None","None","None",,,,,,"392:50,168:300,304:184,",,,,
"42","1368743801","indoor","lines","wheel","abstract",NULL,"grass","lights","None","None","None",,,,,,"439:125,","134:296,125:187,",,,
"43","136891454","outdoor","landscape","hill","nature","slope","sky","grass","dirt","architecture","mountains",,,,,,"340:79,188:71,291:47,278:15,","361:365,29:460,163:440,112:169,156:176,","266:389,","128:260,131:305,","365:158,"
"44","136904903","outdoor","patchwork","quilt","trellis","goal net","sky","grass","trees","None","None",,,,,,"195:4,","65:457,364:482,202:471,","66:66,116:34,112:27,",,
"45","13690667","outdoor","vehicle","bike","motorcycle","horseback riding","sky","concrete","None","None","None",,,,,,"379:112,","363:315,",,,
