"ind","imgid","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag1c","tag2c","tag3c","tag4c","tag5c","tag6c","tag7c","tag8c","tag9c","tag10c"
"1","1506985199","group performance","window box",NULL,NULL,NULL,"floor","None","None","None","None",,,,,,"484:287,473:303,330:318,",,,,
"2","1507049391","indoor","people","pet","dog","animal","None","None","None","None","None",,,,,,,,,,
"3","1507411355","indoor","wedding","bride","people","groom","None","None","None","None","None",,,,,,,,,,
"4","1507747334","outdoor","kangaroo","animal",NULL,NULL,"grass","trees","None","None","None",,,,,,"96:134,32:279,100:386,223:391,","81:26,110:56,",,,
"5","1508174316","dagger","knife","minimalism","indoor","star shape","wall","None","None","None","None",,,,,,"218:176,",,,,
"6","1508192306","indoor","food",NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"7","1508342402","stringed instrument","music","violin","gravestone","red","None","None","None","None","None",,"304:322,238:208,",,,,,,,,
"8","1508544293","outdoor","plant","nature","flower","pink","flowers","grass","None","None","None",,,,,,"271:288,326:209,","490:276,464:313,343:175,",,,
"9","1508590304","people","outdoor",NULL,NULL,NULL,"people","None","None","None","None",,,,,,"81:312,94:304,264:198,267:124,277:50,260:37,",,,,
"10","1508624306","outdoor","nature","landscape","rock formation","outcrop","water","rocks","None","None","None",,,,,,"11:179,388:46,","314:228,",,,
"11","1508738705","outdoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"12","1508820394","architecture",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"13","150892294","building","house","architecture","outdoor","chalet","architecture","wood","sky","trees","None",,,,,,"468:94,392:209,412:42,351:84,","389:208,272:99,252:55,371:88,","171:18,","243:300,97:88,66:262,",
"14","1508971431","indoor","assembly hall","auditorium","classroom","room","wall","None","None","None","None",,,,,,"94:110,",,,,
"15","150916549","fish","animal","goldfish","blur","macro","None","None","None","None","None",,,"192:256,63:271,105:244,199:162,",,,,,,,
"16","1509253924","outdoor","plant","nature","grass","pond","None","None","None","None","None",,,,,,,,,,
"17","1509479870","indoor","cookie sheet","kitchen ware",NULL,NULL,"wood","None","None","None","None",,,,,,,,,,
