"ind","imgid","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag1c","tag2c","tag3c","tag4c","tag5c","tag6c","tag7c","tag8c","tag9c","tag10c"
"1","119606260","pet","cat","feline","animal","indoor","people","None","None","None","None",,,,,,"366:152,20:54,",,,,
"2","1196176452","collection","skyline","city","architecture",NULL,"None","None","None","None","None",,,,,,,,,,
"3","1196486383","indoor","car part","gearshift","control panel","dashboard","None","None","None","None","None",,,,,,,,,,
"4","119663529","outdoor","building","architecture","door","window","road""","None","None","None","None",,"198:381,210:334,190:36,54:43,",,"134:268,92:240,",,"301:491,230:493,",,,,
"5","1196791669","pet","dog","poodle","animal","arctic fox","None","None","None","None","None",,,,,,,,,,
"6","1196950916","outdoor",NULL,NULL,NULL,NULL,"grass","None","None","None","None",,,,,,"470:41,465:156,443:90,",,,,
"7","1197410286","outdoor","nature","field","landscape","plain","sky","mountains","grass","None","None",,,,,,"485:83,467:150,427:45,283:47,110:43,","203:172,134:172,85:172,25:203,","218:312,45:312,210:270,143:281,58:238,",,
"8","119746991","dancer","performer","people",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"9","119747209","outdoor","blue","texture","snow","nature","None","None","None","None","None",,,,"250:307,",,,,,,
"10","119750514","concert","music","stage","performer","people","None","None","None","None","None","318:32,276:30,425:107,",,,,,,,,,
"11","1198094699","indoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"12","11981175","amphitheater","architecture","arch","coliseum","building","sky","None","None","None","None",,"168:114,197:112,251:65,",,,,"251:163,451:27,",,,,
"13","119845015","outdoor","slope","nature","riverbank","landscape","trees","grass","water","sky","None",,,,,,"31:221,51:205,453:207,248:181,240:205,182:207,","422:361,364:332,162:258,","182:318,","88:67,",
"14","1199260901","outdoor","dusk","sky","sun","sunset","sun","None","None","None","None",,,,,"457:47,444:92,248:178,137:158,","168:94,",,,,
"15","119938357","indoor","bicycle","bike","vehicle","headrest","None","None","None","None","None",,,,,,,,,,
"16","1199590172","green","electronics","circuit",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"17","1199682495","outdoor","sand","nature",NULL,NULL,"None","None","None","None","None",,"384:165,",,,,,,,,
"18","1199758650","indoor",NULL,NULL,NULL,NULL,"people","None","None","None","None",,,,,,"164:358,",,,,
"19","1199887698","people","outfit","indoor","swing","skating","floor","None","None","None","None",,,,,,"88:325,151:278,106:241,140:258,",,,,
"20","119990278","indoor","art","furry","head","eye","animal","None","None","None","None",,,,,,"120:56,104:185,68:136,60:116,33:92,",,,,
"21","1199953814","lego",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"22","120017313","people","portrait","indoor","head","cap","wood","wall","None","None","None","191:232,295:194,",,,,,"328:234,391:181,","388:45,35:198,77:121,117:14,",,,
"23","1200217392","streetlight","minimalism","lamppost","post","text","None","None","None","None","None",,,,,,,,,,
"24","1200275368","outdoor","fireworks",NULL,NULL,NULL,"None","None","None","None","None",,"324:274,",,,,,,,,
"25","120040300","assembly hall","auditorium","outfit","ensemble","music","None","None","None","None","None",,,,,"237:105,273:92,",,,,,
"26","1200473558","indoor","cockpit",NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"27","1200507426","indoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"28","1200570604","outdoor","food","barbecue","horse","animal","dirt","trees","None","None","None",,,,,,"320:301,217:274,191:267,","55:136,473:187,486:165,442:112,420:103,",,,
"29","1200594525","building","architecture","house","window","window frame","wall","None","None","None","None",,,,,,"177:72,126:125,102:116,80:121,66:70,",,,,
"30","1200595812","performer","people",NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"31","1200607211","outdoor",NULL,NULL,NULL,NULL,"sky","None","None","None","None",,,,,,"468:185,448:170,33:41,",,,,
"32","1200609121","outdoor","train","vehicle","shelter",NULL,"sky","road""","None","None","None",,,,,,"406:70,","131:278,",,,
"33","120070034","blackandwhite","outdoor","aquatic bird","animal","bird","None","None","None","None","None",,,,,,,,,,
"34","120101733","formal wear","gown","dress","bridesmaid","people","people","None","None","None","None",,,,,,"264:72,235:81,175:167,106:110,",,,,
"35","1201677008","outdoor","nature","seaside","shore","landscape","sky","water","road""","mountains","None",,,,,,"377:154,304:134,231:45,","304:254,35:214,","424:303,","335:163,355:165,",
"36","1202092112","indoor","trapeze","gymnastic apparatus","sport",NULL,"wall","None","None","None","None",,,,,,"204:56,220:5,240:38,",,,,
"37","120227110","indoor",NULL,NULL,NULL,NULL,"people","wall","None","None","None",,,,,,"377:150,404:161,151:152,151:136,","66:18,313:103,",,,
"38","120239980","outdoor","water sport","snorkel","sport",NULL,"people","None","None","None","None",,,,,,"404:447,117:407,222:410,208:350,242:101,191:81,",,,,
"39","120293693","indoor","electronics","computer mouse","blue",NULL,"wall","None","None","None","None",,,,,,"60:85,",,,,
"40","1203223474","outdoor","blue",NULL,NULL,NULL,"trees","road""","None","None","None",,,,,,"197:12,40:107,124:54,","431:327,342:232,317:32,",,,
"41","120374071","outdoor","mountain","nature","landscape","slope","sky","mountains","trees","None","None",,,,,,"106:90,","257:270,264:296,282:241,","222:445,22:441,51:398,106:330,22:305,",,
"42","1203933080","outdoor","yellow",NULL,NULL,NULL,"grass","sky","trees","architecture","None",,,,,,"342:298,324:223,","91:130,46:72,","366:158,191:165,","337:167,346:143,",
"43","120397418","vehicle","boat","rowing boat","rowing","sport","water","None","None","None","None",,,,,,"182:358,186:110,233:83,",,,,
"44","1204132607","indoor",NULL,NULL,NULL,NULL,"people","wall","None","None","None",,,,,,"97:221,128:152,","435:76,",,,
"45","1204376818","outdoor","fieldwork","pet","dog","animal","sky","road""","trees","grass","None",,,,,,"133:121,126:81,","240:334,22:385,","48:83,","237:205,",
"46","12044205","blackandwhite","monochrome","indoor","sport","gym weights","None","None","None","None","None",,,,,,,,,,
"47","120446007","groupshot","people","ensemble","outfit",NULL,"people","None","None","None","None",,,,,,"246:214,255:43,397:152,",,,,
"48","1204773540","depth of field","outdoor","bokeh","macro","blur","None","None","None","None","None",,,,,,,,,,
"49","1205396208","outdoor","green","plant","nature","grass","trees","grass","None","None","None",,,,,,"155:258,","131:3,",,,
"50","1205611527","indoor","art","graffiti","bed","room","concrete","sky","None","None","None",,,,,,"217:114,","366:216,",,,
"51","1205881405","people","indoor","feather boa",NULL,NULL,"wall","None","None","None","None",,,,,,"144:192,375:114,",,,,
"52","1205925806","indoor","magenta",NULL,NULL,NULL,"concrete","None","None","None","None",,,,,,"435:118,",,,,
"53","120598107","indoor","bright","depth of field","abstract","blur","None","None","None","None","None",,,,,,,,,,
"54","1206002727","indoor","sport","sumo wrestling",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"55","120606855","lines","hallway","hall","diagonal","abstract","wall","window","None","None","None",,,,,,"386:70,144:272,","386:287,368:256,",,,
"56","120668309","indoor","bowling","sport","overpass","architecture","wood","lights","wall","None","None",,,,,,"177:323,195:294,","328:58,","375:236,340:172,320:130,264:14,",,
"57","120679016","indoor","alehouse",NULL,NULL,NULL,"wall","None","None","None","None",,,,,,"408:263,417:143,275:38,",,,,
"58","120679936","concert","music","outfit","ensemble","candelabrum","None","None","None","None","None",,,,,,,,,,
"59","120691371","outdoor","freeway","road","highway",NULL,"sky","road""","None","None","None",,,,,,"93:52,","60:201,113:287,",,,
"60","1206977969","indoor",NULL,NULL,NULL,NULL,"people","None","None","None","None",,,,,,"380:190,184:183,",,,,
